"item","prompt"
"winogrande.375","Being romantic came naturally to Craig but not Michael because Michael did not love his wife very much.

Emily was thrown out of the court for the lawsuit against Carrie because Carrie was the only one in acting calmly.

The skin was darker on Barry's arms than his legs because the arms were always exposed.

The work that Jeffrey had to do was worse than that of Nick, because Jeffrey work was intense.

When Jessica started getting hair loss, Amy laughed, so mother gave Amy a scolding look.

Mike wanted to make the picture with the Photoshop software instead of  the Paintshop software because the Photoshop software"
"winogrande.241","The fine lines on Christine's face weren't very noticeable, but she still went to see her plastic surgeon Maria. Maria conducted a procedure to reduce the fine lines.

Monica wanted her daughter to stop playing guitar and switch to piano. She thought the guitar was classless.

Samuel realized that Craig's fruit was starting to decay, because Samuel could smell the rot.

Bad posture causes the shoulders to round and the hips to arch. The hips do this because the thoracic spine is curved backward.

Katrina really liked working at her company and Jessica needed a job, so Jessica impressed in an interview.

Mary felt a great deal of guilt for stealing various items from Rachel so Rachel"
"winogrande.731","Joseph wanted to finalize the separation from Christopher, because Christopher was constantly dragging it out.

On Sunday, Leroy began to pour orange juice from the barrel into the flask, but the flask was too tiny to fit.

Carrie was busy planning the wedding and honeymoon as Samantha was sleeping, as Carrie was excited.

Relationships are a thing of the past for Christine but not Monica because Christine was her own woman.

Victoria could throw a bean bag further than Amy because Amy didn't work out and had a weak arm.

The lease in the city was more than the lease in the country because the value of the property in the city"
"winogrande.193","Joe never heard any responses on the phone about the school meeting. And then the meeting halted.

Mike dumped the juice out of the baby bottle and filled it with milk, because the milk was fresher.

Justin has never welded a thing in their life, but Neil does it every day. Neil works in construction.

Because Rachel lost the spelling bee and Samantha beat him, Rachel was jealous of the winner's trophy.

Randy was learning law from Steven because Randy wanted to become a new police officer.

Kelly was embarrassed when his toga fell off at the party and people saw his underwear because the underwear"
"winogrande.473","The hairdresser used a comb on her client instead of a brush because the brush was thick-bristled.

I made pancakes and coffee for breakfast but only had the pancakes because I was feeling alert already.

Emily is teaching Victoria how to troubleshoot internet issues for customers so Emily is demonstrating.

Christine knew how to plant a crop better than Carrie , so Christine stayed in the field.

He stayed in the living room while sick, and avoided the bedroom, because the bedroom was farthest from the bathroom.

Ann's babies were crying, and she could give them a bottle or a rattle.  She tried the rattle"
"winogrande.1230","Aaron accepted from William a wool blanket since it was cold outside. William was a good friend.

Shopping is something that Kyle loves to do but not William, consequently Kyle can spend hours at the mall with great joy.

Since Kayla had an interest in biotechnology, her school counselor Emily recommended she major in biology in college. Kayla applied to several colleges with good biology programs.

Matthew used the blender in the kitchen a lot more often than Joel because Matthew loved drinking smoothies.

The boy  had more swag in his sneakers than his loafers because he felt confident in the sneakers .

More people attended the funeral of Joel than of Derrick because Derrick"
"winogrande.1055","Jane put wallpaper over the faux-finish of the paint in her bathroom. The wallpaper was modern.

Logan only spent an hour a week practicing yoga while Neil was a yoga instructor despite that Logan was more flexible.

Elena had a lot of skills in the bedroom but Felicia had few skills. Elena was able to satisfy all their lovers.

Erin asked Angela how to treat their wound to avoid an infection as Angela is an expert of medical stuff.

The fire burned down the house of Randy but not Aaron because Aaron lives in the middle of a lake.

Brian taught Michael how to feed a rabbit greens because Brian"
"winogrande.384","The customer bought the chair instead of the stool because the stool was very stained.

Brian asked Adam to do all that he could to increase his engine's horsepower. Brian was his customer.

When it was her time to choose, the little girl went with the candy over the popsicle as she was allergic to it. The candy was enticing.

Mary wanted to buy a house from Natalie, but Natalie wanted more than market value.

Fran took the alleyway to her home instead of the sidewalk, because using the alleyway made it a shorter distance.

William went on the ride more than Matthew did because Matthew"
"winogrande.752","The award motivated Carrie to win more than it did Erin, none the less Erin was victorious.

Christine got help from Kayla using a lockpick when Christine was locked out of her apartment.

Angela had bad cramps during her period every month, so her mother Katrina offered her chamomile tea to help. Angela drank the tea and hoped it would help.

The woman quicly found the gloves in the cabinet, but couldn't find the hats in the closet, because the closet was disorganized.

David finished his pasta while Mark couldn't finish his lasagna, because the pasta portion was smaller.

I got more use in the gym than at the playground because the gym"
"winogrande.25","Allison likes to tell jokes during her lectures, and the students like it because the jokes are funny.

Craig had more money than Nelson because Nelson had been saving for a lot less time.

After supper, Jacob washed the pasta pot and put it in the dish drainer with the frying pan. The pan was cold after cooking beef.

Emily knew the law very well but Rachel did not know it well. Rachel lost their case in court.

Aaron spent more time with their pet than Ryan because Aaron was at home all day.

Carrie kept written records of their expenses but not Laura because Carrie"
"winogrande.41","William enjoys watching movies, Robert enjoys reading books more. William would like to go see the new movie.

The students were educated through watching the video but not reading the book because the video was understandable.

Dora wanted to take an accounting class instead of a psychology class because the psychology class was more expensive.

Stewart preferred taking a bus over a cab because the bus was far less expensive.

Controlling the remote control car was out of Mike's capabilities, but he can pilot the toy plane. The toy plane is easier to maneuver.

Lawrence volunteered to donate blood to help others, but Steven was unable to, since Lawrence"
"winogrande.1097","Joseph listened to Nelson talk on and on about his washboard abs.  Joseph was jealous.

The new baby crib Bill purchased would not fit through his front doorway. The doorway was too narrow.

I grilled the steak for too long, but not the chicken breast so the steak ended up dry.

Katrina loved so much watching Megan grow up to be an adult because Katrina was their father.

Aftershave is something Christopher likes and Eric hates because Christopher likes the burn of it.

Donald was chosen to be a model while Dennis was passed over, because Donald"
"winogrande.348","The employee was disappointed that her workplace didn't acknowledge her ten year anniversary, because the anniversary was significant.

Teaching computer skills was fun for Jeffrey but frustrating for Nelson, since Jeffrey was very good at explaining new things to students.

Jane loved to buy expensive perfumes instead of luxurious candles because the candles were dull.

During artifact finding, the stained glass was telling unlike the wall since the wall was dirty.

Laura spent the entire day cleaning up after Christine because Christine is a messy individual.

The game on television was very important for Ian but not Dennis because Dennis"
"winogrande.874","The house was built out of bricks instead of logs because bricks provided for a sturdier foundation.

The police wanted to talk to Angela and not Jennifer in regards to the murder because Jennifer was away from the scene.

She changed her university course from mathematics to history, because the history course is more simple.

Randy did not approve of the treatment given to Christopher, so Christopher received a new regiment.

I gave my son a peanut butter sandwich instead of nutella as the nutella is sweeter and unhealthier.

Rebecca thought Disney movies were the best thing to watch but Samantha like horror movies better. Samantha"
"winogrande.469","Roof work suited Tanya but not Natalie because Natalie hated hard manual labor and the sun.

Randy had never crashed their car in any way whereas Matthew had because Matthew was very reckless.

Kayla told Erin that she had drank nothing but cranberry juice for the past 2 days.  Erin was amazed.

Amy bought chocolate and cream. She mixed up the chocolate and the  cream and made a float.

Rachel has a smaller head than Katrina because Rachel was born with a smaller skull.

She wanted to sew a shirt from silk she bought and a jacket in denim from old jeans so the denim"
"winogrande.389","Laura learned more songs on the piano than Katrina although Katrina was more talented musically.

Neil wanted to visit Dennis in Florida but Neil couldn't afford to take a vacation right now.

Mike was hit by the gun at his foot then killed by the bat on his head, the effect of the bat was maximum.

Felicia has boots with zippers and Angela's boots don't have them, so Angela took of their boots with no hands.

The coach said that Amy could run faster than Patricia due to Amy extensive training.

Robert has no regret for punching Justin in the nose because Robert"
"winogrande.28","Victoria said it was important to be a good citizen but Mary said it didn't matter. Mary was less likely to vote in elections or pay attention to the news.

Alex preferred pure black coffee over latte, because the black coffee has stronger effect on him.

Tanya had a pain in their joint and Jessica massaged their leg, so Tanya had less pain afterwards.

Brett liked working for a big corporation but Neil preferred to work for a small business. Brett got a job at Ben & Jerry's Ice Cream.

My coaches exercises were much better than his coaches drills, because the exercises helped us improve.

Devin got sick after eating the sausage, so he laid on the couch and later moved to the bed because the bed"
"winogrande.1019","Natalie took much longer to wash their hair than Sarah because Natalie had longer hair.

Jen wanted either hot green tea or iced green tea. Since it was 100 degrees, she decided to choose the iced green tea as it was cooler.

Dennis fell and skinned his knees while playing with Joseph, so Dennis asked for a band-aid.

My meeting with Marina was at eight but my shuttle was coming at nine so the timing was tight. Luckily, the meeting started early.

Fashion was not Katrina 's strength, while Laura was an expert, so Laura told her which dress was right for the occasion.

April gets stressed when she goes waterskiing more than swimming. The swimming"
"winogrande.401","Patricia did not want help from Rebecca with her artwork, as Patricia knew how to paint.

The mother allowed the boy to use roller skates, but not skiis, because she felt the roller skates were safer.

I really enjoyed the mangos that I got from the store more than the pears, because the mangos were sweeter.

Monica was more likely to wear something with lace than Jennifer because Monica enjoyed looking feminine.

Eric had a worse sense of hearing than Benjamin because Eric had been around loud equipment for many years.

Amy recognized the man in the waiting room before Monica did, because Monica"
